phi,mean,maxi,const
0.20,0.016528,0.279542,0.10
0.10,0.011101,0.094917,0.10
0.30,0.037083,0.392480,0.10
0.40,0.059660,0.463553,0.10
0.60,0.080224,0.581505,0.10
0.50,0.078759,0.425990,0.10
0.80,0.053952,0.771930,0.10
0.90,0.159923,0.737034,0.10
1.00,0.091749,0.676919,0.10
1.20,0.023361,0.788358,0.10
1.10,0.117045,0.732077,0.10
0.70,0.096761,0.513283,0.10
1.30,0.044580,0.665686,0.10
6.00,0.000000,-0.000000,0.00
6.10,0.000000,-0.000000,0.00
6.20,0.000000,-0.000000,0.00
0.00,0.000000,-0.000000,0.10
1.70,-0.105791,0.264351,0.10
1.50,0.042904,0.358803,0.10
1.60,-0.026717,0.587621,0.10
1.80,-0.094267,0.752053,0.10
4.70,0.000000,-0.000000,0.00
1.40,0.072227,0.638982,0.10
1.90,-0.113414,0.714414,0.10
2.00,-0.105141,0.818063,0.10
2.80,-0.030632,0.235013,0.10
2.10,-0.081665,0.352064,0.10
2.20,-0.088494,0.842231,0.10
2.30,-0.098145,0.778848,0.10
2.40,-0.081107,0.586341,0.10
2.50,-0.043686,0.911849,0.10
2.60,-0.065955,0.295420,0.10
2.70,-0.029022,0.406019,0.10
3.00,-0.015040,0.192556,0.10
3.20,0.007421,0.044101,0.10
3.40,0.015653,0.407889,0.10
3.30,-0.001690,0.166626,0.10
2.90,-0.048419,0.077632,0.10
3.10,-0.005956,0.012497,0.10
4.00,0.137032,0.792548,0.10
4.10,0.035493,0.577676,0.10
4.20,0.071237,0.702476,0.10
4.30,0.122692,0.903782,0.10
4.40,0.075660,0.900121,0.10
4.50,0.099605,0.839150,0.10
3.50,0.032400,0.280750,0.10
5.00,-0.024028,0.649104,0.10
4.90,-0.127871,0.511446,0.10
5.20,-0.085287,0.453726,0.10
5.10,-0.061682,0.784796,0.10
4.70,0.027306,0.533443,0.10
4.60,0.077030,0.610618,0.10
4.80,-0.063210,0.483466,0.10
3.60,0.059656,0.530634,0.10
3.70,0.078273,0.541805,0.10
3.80,0.078907,0.413228,0.10
3.90,0.104855,0.713438,0.10
5.60,-0.063809,0.672962,0.10
5.50,-0.188841,0.285832,0.10
5.70,-0.079520,0.586774,0.10
5.90,-0.051494,0.172565,0.10
5.80,-0.073374,0.257545,0.10
5.30,-0.056685,0.874103,0.10
6.00,-0.030475,0.352148,0.10
6.20,-0.012251,0.054205,0.10
6.10,-0.028264,0.116364,0.10
0.00,0.000000,-0.000000,0.20
0.20,0.035900,0.418196,0.20
0.30,0.011735,0.285244,0.20
0.10,0.015496,0.220803,0.20
0.40,0.058488,0.477914,0.20
0.70,0.101929,0.509250,0.20
0.90,0.119125,0.767279,0.20
0.50,0.088637,0.819100,0.20
1.00,0.150153,0.754852,0.20
0.80,0.102097,0.680082,0.20
0.60,0.059073,0.761255,0.20
5.40,-0.110549,0.434731,0.10
2.20,-0.129574,0.598303,0.20
2.00,-0.176148,0.806299,0.20
2.10,-0.103791,0.683358,0.20
2.30,-0.188601,0.828629,0.20
2.40,-0.135518,0.556688,0.20
1.10,0.205109,0.921674,0.20
2.50,-0.171114,0.368454,0.20
1.40,0.106526,0.813627,0.20
1.30,0.186734,0.809885,0.20
1.20,0.206379,0.869511,0.20
2.90,-0.034372,0.191198,0.20
3.00,-0.032733,0.060324,0.20
3.10,-0.005856,0.037748,0.20
3.20,0.013305,0.221701,0.20
2.60,-0.061695,0.830552,0.20
2.70,-0.090068,0.140013,0.20
2.80,-0.074826,0.629870,0.20
1.80,-0.133925,0.574807,0.20
1.60,-0.021944,0.832472,0.20
1.50,0.068867,0.605384,0.20
1.70,-0.121265,0.522428,0.20
1.90,-0.243479,0.584213,0.20
3.40,0.025605,0.257037,0.20
3.50,0.096964,0.510822,0.20
3.60,0.130053,0.740417,0.20
3.80,0.176499,0.666609,0.20
3.70,0.175236,0.777802,0.20
3.30,0.043506,0.418244,0.20
3.90,0.158480,0.668501,0.20
4.00,0.140823,0.748727,0.20
4.10,0.100762,0.743465,0.20
4.20,0.086843,0.694773,0.20
4.50,0.212601,0.718379,0.20
4.40,0.185681,0.864849,0.20
4.30,0.113557,0.959349,0.20
5.40,-0.067634,0.953917,0.20
5.00,-0.242425,0.456858,0.20
5.10,-0.205783,0.549682,0.20
5.20,-0.097931,0.807332,0.20
5.30,-0.187338,0.564933,0.20
4.60,0.145165,0.726443,0.20
4.90,-0.074889,0.761285,0.20
4.70,0.027472,0.698582,0.20
4.80,-0.043222,0.342358,0.20
5.70,-0.120187,0.671157,0.20
5.90,-0.048830,0.391939,0.20
5.60,-0.104016,0.511837,0.20
6.10,-0.054790,0.141508,0.20
0.80,0.198738,0.765601,0.30
0.00,0.000000,-0.000000,0.30
0.10,-0.005667,0.193697,0.30
6.20,-0.010598,0.230297,0.20
1.20,0.281059,0.869308,0.30
1.30,0.226634,0.905342,0.30
1.50,0.131916,0.586552,0.30
1.40,0.198467,0.927917,0.30
0.90,0.204626,0.845938,0.30
1.00,0.231113,0.929947,0.30
5.80,-0.100279,0.238843,0.20
1.10,0.288609,0.897787,0.30
0.60,0.110147,0.633690,0.30
6.00,-0.033072,0.923408,0.20
0.20,0.013136,0.585029,0.30
0.40,0.032325,0.833039,0.30
0.30,0.050403,0.569970,0.30
1.70,-0.197291,0.421545,0.30
1.80,-0.338741,0.260709,0.30
1.90,-0.271724,0.449757,0.30
2.10,-0.249277,0.652022,0.30
2.00,-0.304579,0.635205,0.30
5.50,-0.152398,0.295359,0.20
0.50,0.095922,0.714926,0.30
1.60,-0.026790,0.525213,0.30
0.70,0.177058,0.851673,0.30
2.60,-0.124250,0.529018,0.30
2.70,-0.115314,0.375674,0.30
2.80,-0.117010,0.362811,0.30
2.90,-0.069150,0.181033,0.30
3.00,-0.047080,0.128716,0.30
2.20,-0.291579,0.783614,0.30
2.40,-0.214097,0.956346,0.30
2.50,-0.204541,0.172644,0.30
2.30,-0.209329,0.568559,0.30
3.10,-0.008834,0.053602,0.30
3.70,0.091968,0.479247,0.30
3.40,0.083654,0.567350,0.30
3.30,0.048601,0.739945,0.30
3.50,0.075758,0.414479,0.30
3.60,0.131620,0.746204,0.30
3.20,0.010641,0.111745,0.30
3.90,0.218688,0.759067,0.30
4.00,0.226239,0.860676,0.30
3.80,0.233293,0.702252,0.30
4.10,0.296235,0.964049,0.30
4.30,0.319299,0.960747,0.30
4.20,0.273595,0.912450,0.30
4.60,0.209079,0.726048,0.30
4.40,0.191048,0.690748,0.30
4.80,-0.098687,0.619435,0.30
4.50,0.289216,0.798345,0.30
4.70,0.032370,0.390703,0.30
4.90,-0.233171,0.579168,0.30
5.50,-0.157961,0.233993,0.30
5.60,-0.190820,0.402800,0.30
5.70,-0.072342,0.689705,0.30
5.80,-0.053477,0.628299,0.30
6.10,-0.007014,0.656421,0.30
6.20,-0.001554,0.179075,0.30
5.90,-0.049060,0.526534,0.30
0.00,0.000000,-0.000000,0.40
0.10,0.028906,0.341189,0.40
6.00,-0.019159,0.347337,0.30
0.30,0.006083,0.365997,0.40
0.40,0.066115,0.564442,0.40
0.50,0.076115,0.533159,0.40
0.60,0.054305,0.766684,0.40
0.70,0.120089,0.706232,0.40
0.80,0.181780,0.752362,0.40
0.20,0.039496,0.346726,0.40
5.20,-0.211244,0.607531,0.30
5.30,-0.152647,0.779858,0.30
5.10,-0.222344,0.980334,0.30
1.30,0.331033,0.873759,0.40
0.90,0.139811,0.808032,0.40
1.10,0.303984,0.952889,0.40
1.20,0.333861,0.969385,0.40
1.00,0.295607,0.886227,0.40
5.40,-0.180601,0.622872,0.30
1.90,-0.413149,0.277989,0.40
1.60,-0.031020,0.550476,0.40
1.40,0.223822,0.951497,0.40
1.50,0.121564,0.607014,0.40
